|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
||2006|100.0|220.0|1220.0|170.0|280.0|485.0|70.0|20.0|450.0|200.0|200.0||200.0|155.0|140.0|50.0|130.0|8.0|800.0||869.0|290.0||60.0|305.0|210.0|
||2007|150.0|230.0|900.0|160.0|344.0|503.0|60.0|35.0|181.0|680.0|370.0||128.0|170.0|150.0|350.0|142.0|16.0|850.0||756.0|285.0|28.0|70.0|2300.0|215.0|
||2008|155.0|260.0|890.0|110.0|340.0|530.0|25.0|42.0|191.0|675.0|375.0||102.0|190.0|180.0|310.0|158.0|0.0|813.0||745.0|319.0|9.0|95.0|2800.0|120.0|
||2009|100.0|150.0|800.0|115.0|308.0|343.0|10.0|40.0|1045.0|441.0|295.0||95.0|230.0|50.0|400.0|350.0|1.0|680.0|200.0|1015.0|80.0|25.0|280.0|2690.0|122.0|
||2010|200.0|200.0|810.0|112.0|149.0|368.0|15.0|45.0|1255.0|450.0|290.0||300.0|150.0|110.0|250.0|210.0|1.0|900.0|210.0|1400.0|100.0|60.0|310.0|2830.0|297.0|
||2011|100.0|250.0|840.0|186.0|200.0|278.0|30.0|30.0|1820.0|250.0|311.0||441.0|120.0|120.0|125.0|576.0|2.0|1050.0|500.0|1090.0|272.0|55.0|60.0|3375.0|321.0|
||2012|655.0|250.0|950.0|187.0|800.0|498.0|40.0|75.0|730.0|500.0|335.0||198.0|130.0|120.0|258.0|584.0|3.0|960.0|250.0|1221.0|141.0|49.0|60.0|2700.0|300.0|
||2013|125.0|350.0|1350.0|209.0|950.0|508.0|26.0|65.0|750.0|1000.0|340.0||200.0|250.0|125.0|302.0|602.0|10.0|1250.0|200.0|1230.0|167.0|46.0|150.0|2704.0|213.0|
||2014|615.0|400.0|1007.0|230.0|729.0|643.0|300.0|77.0|890.0|481.0|590.0||262.0|220.0|85.0|325.0|700.0|10.0|1310.0|200.0|1250.0|60.0|20.0|210.0|3025.0|280.0|
||2015|623.0|530.0|800.0|241.0|712.0|693.0|75.0|69.0|892.0|539.0|710.0||420.0|219.0|84.0|351.0|707.0|8.0|1515.0|205.0|1650.0|53.0|22.0|210.0|3700.0|300.0|
||2016|642.0|520.0|870.0|200.0|687.0|610.0|100.0|76.0|992.0|540.0|860.0||520.0|310.0|65.0|435.0|758.0|7.0|1400.0|200.0|1718.0|60.0|24.0|213.0|3750.0|310.0|
||2017|1191.0|510.0|1202.0|1254.0|484.0|992.0|99.0|108.0|980.0|610.0|1116.0|1380.0|905.0||135.0|1073.0|770.0|0.0|1600.0|280.0|1750.0|175.0|110.0|413.0|3800.0|700.0|
||2018|1014.0|190.0|990.0|1445.0|210.0|663.0|42.0|107.0|1025.0|110.0|800.0|523.0|1308.0||175.0|489.0|810.0|0.0|2000.0|155.0|1600.0|70.0|80.0|350.0|854.0|669.0|
||2019|412.0|165.0|1150.0|1580.0|211.0|837.0|85.0|92.0|1120.0|1380.0|1000.0|510.0|401.0||221.0|566.0|760.0|0.0|1500.0|164.0|1910.0|41.0|70.0|260.0|920.0|530.0|
||2020|478.0|158.0|1250.0|2185.0|194.0|681.0|130.0|41.0|1169.0|1232.0|1290.0|1200.0|404.0||270.0|498.0|345.0|0.0|1700.0|228.0|1932.0|39.0|105.0|280.0|1037.0|420.0|
||2021|586.0|190.0|2000.0|2095.0|195.0|650.0|145.0|31.0|1074.0|1241.0|1295.0|1381.0|504.0||320.0|486.0|388.0|5.0|2050.0|186.0|2282.0|76.0|110.0|450.0|2652.0|320.0|
||2022|732.0|180.0|1950.0|1632.0|175.0|750.0|147.0|11.0|1100.0|1000.0|760.0|1666.0|454.0||325.0|404.0|405.0|10.0|1900.0|178.0|5206.0|31.0|800.0|483.0|2446.0|160.0|
||2023|826.0|560.0|1779.0|1125.0|154.0|987.0|162.0|52.0|634.0|585.0|971.0|1452.0|470.0||261.0|310.0|537.0|662.0|1516.0|178.0|4910.0|17.0|838.0|209.0|2323.0|136.0|
||2024|623.0|357.0|1550.0|1180.0|284.0|750.0|148.0|6.0|730.0|570.0|732.0|1523.0|448.0||148.0|242.0|588.0|584.0|1256.0|165.0|1882.0|33.0|923.0|257.0|2136.0|136.0|
|01.41.10.02.01. (Süt Sığırları, Canlı (Kültür Melezi), 2 Ve Daha Yukarı Yaşta (İnek))|2004|940.0|100.0|660.0|3600.0|2100.0|526.0|135.0|100.0|732.0|1100.0|3000.0||500.0|2050.0|210.0|6200.0|150.0|1835.0|4510.0||290.0|138.0|350.0|170.0|4885.0|2500.0|
||2005|950.0|100.0|750.0|2750.0|2800.0|565.0|130.0|150.0|2850.0|1400.0|3000.0||500.0|2036.0|200.0|6100.0|140.0|1980.0|4600.0||453.0|130.0|550.0|170.0|4900.0|3000.0|
||2006|1000.0|100.0|720.0|2900.0|3000.0|620.0|125.0|150.0|2600.0|1450.0|3200.0||600.0|0.0|210.0|5500.0|130.0|2010.0|4600.0||260.0|125.0|600.0|165.0|4850.0|3200.0|
||2007|1050.0|109.0|450.0|2450.0|466.0|655.0|112.0|305.0|732.0|220.0|2804.0||1381.0|780.0|265.0|2800.0|164.0|2512.0|2520.0||230.0|170.0|1025.0|175.0|4960.0|4150.0|
||2008|1060.0|175.0|88.0|320.0|450.0|639.0|125.0|316.0|810.0|225.0|2805.0||1973.0|850.0|298.0|2000.0|185.0|2104.0|1687.0||210.0|218.0|1000.0|160.0|5960.0|4750.0|
||2009|1000.0|320.0|900.0|150.0|403.0|783.0||310.0|850.0|471.0|1305.0||1469.0|950.0|30.0|2400.0|1000.0|2518.0|1257.0|200.0|227.0|230.0|2200.0|40.0|6094.0|4780.0|
||2010|1500.0|350.0|350.0|147.0|1248.0|858.0||315.0|890.0|480.0|1300.0||1674.0|1100.0|40.0|2600.0|1100.0|2621.0|1250.0|190.0|186.0|300.0|1950.0|150.0|7050.0|5100.0|
||2011|2050.0|400.0|450.0|153.0|1050.0|748.0|80.0|305.0|1230.0|300.0|1148.0||2226.0|1150.0|150.0|3395.0|692.0|2140.0|1500.0|220.0|185.0|425.0|1800.0|750.0|7585.0|3865.0|
||2012|2267.0|630.0|350.0|154.0|1100.0|968.0|80.0|350.0|1235.0|500.0|2911.0||3141.0|1540.0|220.0|3690.0|710.0|3836.0|1170.0|200.0|198.0|410.0|1200.0|1300.0|6068.0|4171.0|
||2013|2280.0|450.0|1080.0|1687.0|1617.0|978.0|40.0|201.0|1743.0|900.0|2195.0||4131.0|900.0|216.0|4089.0|720.0|3030.0|1210.0|230.0|196.0|333.0|1190.0|1339.0|6060.0|2915.0|
||2014|3118.0|1542.0|628.0|1646.0|1280.0|1143.0|156.0|536.0|1795.0|405.0|4300.0||4892.0|980.0|190.0|4622.0|953.0|3285.0|1250.0|250.0|1140.0|102.0|1750.0|1126.0|6100.0|2530.0|
||2015|3085.0|1840.0|600.0|1703.0|1261.0|1248.0|74.0|477.0|1790.0|529.0|4980.0||4798.0|1026.0|184.0|4870.0|965.0|3493.0|1200.0|230.0|1160.0|138.0|1650.0|1256.0|6900.0|960.0|
||2016|3841.0|1850.0|650.0|1685.0|1089.0|1534.0|79.0|460.0|1840.0|526.0|5380.0||4920.0|1110.0|195.0|4250.0|1010.0|3652.0|1300.0|240.0|1210.0|120.0|1600.0|1254.0|6750.0|1000.0|
||2017|2663.0|1720.0|1442.0|4999.0|1856.0|1907.0|193.0|566.0|3320.0|1050.0|6700.0|2468.0|4900.0||398.0|3765.0|990.0|3616.0|1800.0|304.0|2286.0|103.0|949.0|1389.0|6077.0|3044.0|
||2018|3060.0|1180.0|1220.0|5015.0|1085.0|2406.0|107.0|727.0|3350.0|1836.0|7400.0|1523.0|5351.0||410.0|4403.0|1020.0|3528.0|1900.0|543.0|3979.0|284.0|1000.0|1000.0|11970.0|2976.0|
||2019|4014.0|1080.0|1200.0|11120.0|1084.0|3317.0|234.0|770.0|3100.0|1663.0|9250.0|1480.0|5940.0||310.0|5373.0|1320.0|3529.0|1700.0|567.0|4321.0|304.0|1100.0|2215.0|14489.0|5270.0|
||2020|5285.0|1068.0|1300.0|9275.0|995.0|3661.0|223.0|640.0|3211.0|1646.0|12250.0|2540.0|6266.0||490.0|6373.0|2018.0|3495.0|1800.0|580.0|5430.0|364.0|1100.0|2284.0|11918.0|6201.0|
||2021|5263.0|1105.0|2000.0|9085.0|996.0|3200.0|242.0|730.0|4494.0|1854.0|12000.0|2730.0|6366.0||404.0|6192.0|2246.0|3215.0|2100.0|496.0|6155.0|459.0|1150.0|2300.0|14461.0|5096.0|
