|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Bin Kişi Başına Otomobil Sayısı|Ölçüm bazında|2007|184.0|
||2008|188.0|
||2009|191.0|
||2010|194.0|
||2011|202.0|
||2012|209.0|
||2013|217.0|
||2014|223.0|
||2015|232.0|
||2016|243.0|
||2017|253.0|
||2018|262.0|
||2019|264.0|
||2020|280.0|
||2021|290.0|
||2022|301.0|
||2023|322.0|
||2024|342.0|
||||
