||Sütunlar|
Satırlar||Nüfus Yoğunluğu (Kilometrekareye Düşen Kişi Sayısı)|
||Ölçüm bazında|
|||
|||
2007|Ankara-6|180.0|
2008|Ankara-6|183.0|
2009|Ankara-6|187.0|
2010|Ankara-6|192.0|
2011|Ankara-6|197.0|
2012|Ankara-6|200.0|
2013|Ankara-6|203.0|
2014|Ankara-6|207.0|
2015|Ankara-6|212.0|
2016|Ankara-6|215.0|
2017|Ankara-6|219.0|
2018|Ankara-6|222.0|
2019|Ankara-6|227.0|
2020|Ankara-6|228.0|
2021|Ankara-6|231.0|
2022|Ankara-6|233.0|
2023|Ankara-6|234.0|
2024|Ankara-6|236.0|
|||
