||Sütunlar|
Satırlar||Ortalama Hanehalkı Büyüklüğü|
||Ölçüm bazında|
|||
|||
|Ankara(Ayaş)-1157|2.95|
|Ankara(Bala)-1167|3.34|
|Ankara(Beypazarı)-1187|3.1|
|Ankara(Çamlıdere)-1227|2.67|
|Ankara(Çankaya)-1231|2.75|
|Ankara(Çubuk)-1260|3.51|
|Ankara(Elmadağ)-1302|3.39|
|Ankara(Etimesgut)-1922|3.25|
|Ankara(Evren)-1924|2.8|
|Ankara(Gölbaşı)-1744|3.49|
|Ankara(Güdül)-1365|2.56|
|Ankara(Haymana)-1387|4.38|
|Ankara(Kalecik)-1427|2.97|
|Ankara(Kazan)-1815|3.53|
|Ankara(Keçiören)-1745|3.34|
|Ankara(Kızılcahamam)-1473|2.76|
|Ankara(Mamak)-1746|3.35|
|Ankara(Nallıhan)-1539|2.77|
|Ankara(Polatlı)-1578|3.28|
|Ankara(Pursaklar)-2034|3.68|
|Ankara(Şereflikoçhisar)-1658|3.04|
|Ankara(Sincan)-1747|3.54|
|Ankara(Yenimahalle)-1723|3.16|
2014|Ankara(Akyurt)-1872|3.62|
|Ankara(Altındağ)-1130|3.32|
|Ankara(Ayaş)-1157|2.91|
|Ankara(Bala)-1167|3.1|
|Ankara(Beypazarı)-1187|3.06|
|Ankara(Çamlıdere)-1227|2.54|
|Ankara(Çankaya)-1231|2.74|
|Ankara(Çubuk)-1260|3.45|
|Ankara(Elmadağ)-1302|3.35|
|Ankara(Etimesgut)-1922|3.22|
|Ankara(Evren)-1924|2.7|
|Ankara(Gölbaşı)-1744|3.45|
|Ankara(Güdül)-1365|2.45|
|Ankara(Haymana)-1387|3.46|
|Ankara(Kalecik)-1427|2.9|
|Ankara(Kazan)-1815|3.5|
|Ankara(Keçiören)-1745|3.32|
|Ankara(Kızılcahamam)-1473|2.67|
|Ankara(Mamak)-1746|3.32|
|Ankara(Nallıhan)-1539|2.7|
|Ankara(Polatlı)-1578|3.28|
|Ankara(Pursaklar)-2034|3.65|
|Ankara(Şereflikoçhisar)-1658|2.97|
|Ankara(Sincan)-1747|3.51|
|Ankara(Yenimahalle)-1723|3.14|
2015|Ankara(Akyurt)-1872|3.55|
|Ankara(Altındağ)-1130|3.29|
|Ankara(Ayaş)-1157|2.84|
|Ankara(Bala)-1167|2.93|
|Ankara(Beypazarı)-1187|3.0|
|Ankara(Çamlıdere)-1227|2.42|
|Ankara(Çankaya)-1231|2.72|
|Ankara(Çubuk)-1260|3.4|
|Ankara(Elmadağ)-1302|3.32|
|Ankara(Etimesgut)-1922|3.19|
|Ankara(Evren)-1924|2.57|
|Ankara(Gölbaşı)-1744|3.41|
|Ankara(Güdül)-1365|2.38|
|Ankara(Haymana)-1387|3.14|
|Ankara(Kalecik)-1427|2.84|
|Ankara(Kazan)-1815|3.45|
|Ankara(Keçiören)-1745|3.28|
|Ankara(Kızılcahamam)-1473|2.59|
|Ankara(Mamak)-1746|3.28|
|Ankara(Nallıhan)-1539|2.67|
|Ankara(Polatlı)-1578|3.24|
|Ankara(Pursaklar)-2034|3.62|
|Ankara(Şereflikoçhisar)-1658|2.92|
|Ankara(Sincan)-1747|3.48|
|Ankara(Yenimahalle)-1723|3.12|
2016|Ankara(Akyurt)-1872|3.51|
|Ankara(Altındağ)-1130|3.28|
|Ankara(Ayaş)-1157|2.79|
|Ankara(Bala)-1167|2.86|
|Ankara(Beypazarı)-1187|3.02|
|Ankara(Çamlıdere)-1227|2.36|
|Ankara(Çankaya)-1231|2.71|
|Ankara(Çubuk)-1260|3.37|
|Ankara(Elmadağ)-1302|3.27|
|Ankara(Etimesgut)-1922|3.16|
|Ankara(Evren)-1924|2.51|
|Ankara(Gölbaşı)-1744|3.37|
|Ankara(Güdül)-1365|2.34|
|Ankara(Haymana)-1387|3.02|
|Ankara(Kalecik)-1427|2.81|
|Ankara(Kazan)-1815|3.43|
|Ankara(Keçiören)-1745|3.26|
|Ankara(Kızılcahamam)-1473|2.56|
|Ankara(Mamak)-1746|3.27|
|Ankara(Nallıhan)-1539|2.66|
|Ankara(Polatlı)-1578|3.21|
|Ankara(Pursaklar)-2034|3.58|
|Ankara(Şereflikoçhisar)-1658|2.89|
|Ankara(Sincan)-1747|3.46|
|Ankara(Yenimahalle)-1723|3.1|
2017|Ankara(Akyurt)-1872|3.47|
|Ankara(Altındağ)-1130|3.27|
|Ankara(Ayaş)-1157|2.73|
|Ankara(Bala)-1167|2.76|
|Ankara(Beypazarı)-1187|2.95|
|Ankara(Çamlıdere)-1227|2.44|
|Ankara(Çankaya)-1231|2.68|
|Ankara(Çubuk)-1260|3.34|
|Ankara(Elmadağ)-1302|3.24|
|Ankara(Etimesgut)-1922|3.12|
|Ankara(Evren)-1924|2.5|
|Ankara(Gölbaşı)-1744|3.33|
|Ankara(Güdül)-1365|2.3|
|Ankara(Haymana)-1387|2.92|
|Ankara(Kahramankazan)-1815|3.4|
|Ankara(Kalecik)-1427|2.73|
|Ankara(Keçiören)-1745|3.24|
|Ankara(Kızılcahamam)-1473|2.52|
|Ankara(Mamak)-1746|3.25|
|Ankara(Nallıhan)-1539|2.63|
|Ankara(Polatlı)-1578|3.17|
|Ankara(Pursaklar)-2034|3.55|
|Ankara(Şereflikoçhisar)-1658|2.84|
|Ankara(Sincan)-1747|3.43|
|Ankara(Yenimahalle)-1723|3.08|
2018|Ankara(Akyurt)-1872|3.45|
|Ankara(Altındağ)-1130|3.24|
|Ankara(Ayaş)-1157|2.97|
