|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Atıksu Arıtma Tesislerinde Arıtılan Atıksu Miktarı (Bin M3/Yıl)|Ölçüm bazında|2001|179238.0|
||2002|196690.0|
||2003|243558.0|
||2004|243546.0|
||2006|209249.0|
||2008|176020.0|
||2010|223537.0|
||2012|337141.0|
||2014|318983.0|
||2016|303442.0|
||2018|246746.0|
||2020|199315.0|
||2022|223947.0|
||||
