|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Kişi Başı Ortalama Belediye Atık Miktarı (Kg/Kişi-Gün)|Ölçüm bazında|2001|1.74|
||2002|1.75|
||2003|1.74|
||2004|1.56|
||2006|1.44|
||2008|1.37|
||2010|1.18|
||2012|1.06|
||2014|1.1|
||2016|1.14|
||2018|1.18|
||2020|1.03|
||2022|0.93|
||||
