|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Atıksu Arıtma Tesisi Sayısı|Ölçüm bazında|2001|4.0|
||2002|4.0|
||2003|4.0|
||2004|4.0|
||2006|4.0|
||2008|2.0|
||2010|3.0|
||2012|10.0|
||2014|19.0|
||2016|26.0|
||2018|29.0|
||2020|30.0|
||2022|31.0|
||||
