|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
İçme Ve Kullanma Suyu Arıtma Tesisi Sayısı|Ölçüm bazında|2001|4.0|
||2002|4.0|
||2003|5.0|
||2004|5.0|
||2006|5.0|
||2008|6.0|
||2010|7.0|
||2012|8.0|
||2014|68.0|
||2016|71.0|
||2018|65.0|
||2020|115.0|
||2022|116.0|
||||
