|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
İçme Ve Kullanma Suyu Arıtma Tesislerinde Arıtılan Su Miktarı (Bin M3/Yıl)|Ölçüm bazında|2001|269123.0|
||2002|287989.0|
||2003|295244.0|
||2004|303392.0|
||2006|343128.0|
||2008|312974.0|
||2010|320511.0|
||2012|364402.0|
||2014|380075.0|
||2016|429110.0|
||2018|474197.0|
||2020|498894.0|
||2022|505696.0|
||||
